Budget: 100
Time: 09:00 - 17:00 (total of 480 minutes)
Genre: thrill
Food: yes
Starting coordinates: (37.423580, -122.170733)
         63420231 function calls (63395977 primitive calls) in 159.559 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 __init__.py:665(__init__)
       30    0.001    0.000    0.723    0.024 __init__.py:668(add_entry)
       25    0.000    0.000    0.000    0.000 __init__.py:70(_is_dunder)
        4    0.000    0.000    0.019    0.005 __init__.py:71(search_function)
        1    0.296    0.296    4.293    4.293 __init__.py:72(<module>)
      140    0.000    0.000    0.000    0.000 __init__.py:726(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:74(LazyImporter)
      280    0.002    0.000    0.005    0.000 __init__.py:743(add)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
       23    0.000    0.000    0.000    0.000 __init__.py:78(_is_sunder)
     4203    0.001    0.000    0.001    0.000 __init__.py:780(value)
        1    0.000    0.000    0.000    0.000 __init__.py:816(IntEnum)
        1    0.000    0.000    0.000    0.000 __init__.py:820(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:891(FileHandler)
        2    0.102    0.051    6.214    3.107 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:93(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:94(_EnumDict)
        1    0.000    0.000    0.040    0.040 __init__.py:948(subscribe)
      139    0.000    0.000    0.000    0.000 __init__.py:956(_added_new)
        1    0.000    0.000    0.000    0.000 __init__.py:963(PlaceHolder)
        6    0.000    0.000    0.000    0.000 __init__.py:969(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:974(Environment)
        8    0.000    0.000    0.000    0.000 __init__.py:976(append)
        1    0.032    0.032    0.038    0.038 __init__.py:99(<module>)
        3    0.000    0.000    0.000    0.000 _abcoll.py:548(update)
        1    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:101(HTTPHeaderDict)
        1    0.000    0.000    0.000    0.000 _collections.py:27(RecentlyUsedContainer)
        1    0.000    0.000    0.000    0.000 _compat.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:30(with_metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:37(metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:38(__new__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:172(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:452(AddressList)
        1    0.013    0.013    0.014    0.014 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _strptime.py:105(__calc_am_pm)
        1    0.000    0.000    0.000    0.000 _strptime.py:117(__calc_date_time)
        1    0.000    0.000    0.002    0.002 _strptime.py:12(<module>)
        1    0.000    0.000    0.000    0.000 _strptime.py:162(__calc_timezone)
        1    0.000    0.000    0.000    0.000 _strptime.py:180(TimeRE)
        1    0.000    0.000    0.002    0.002 _strptime.py:183(__init__)
        5    0.000    0.000    0.000    0.000 _strptime.py:216(<genexpr>)
        6    0.000    0.000    0.000    0.000 _strptime.py:225(__seqToRE)
       50    0.000    0.000    0.000    0.000 _strptime.py:240(<genexpr>)
        4    0.000    0.000    0.001    0.000 _strptime.py:244(pattern)
        1    0.000    0.000    0.000    0.000 _strptime.py:267(compile)
        4    0.000    0.000    0.000    0.000 _strptime.py:27(_getlang)
        2    0.000    0.000    0.001    0.000 _strptime.py:299(_strptime)
        1    0.000    0.000    0.000    0.000 _strptime.py:31(LocaleTime)
        1    0.000    0.000    0.001    0.001 _strptime.py:50(__init__)
        1    0.000    0.000    0.001    0.001 _strptime.py:90(__calc_weekday)
        1    0.000    0.000    0.000    0.000 _strptime.py:98(__calc_month)
        1    0.000    0.000    0.000    0.000 _structures.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _structures.py:17(Infinity)
     1040    0.000    0.000    0.000    0.000 _structures.py:43(__neg__)
